questions,output
Could homeopathy for acne help?,"{
  ""department"": ""Dermatology"",
  ""accepted_department"": [
    ""Dermatology"",
    ""Homeopathy"",
    ""Alternative Medicine""
  ],
  ""symptoms"": [
    ""acne""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Inquisitive"",
  ""urgency_level"": ""Low""
}"
Could this med cause anxiety in a 12 year old?,"{
  ""department"": ""Pediatrics"",
  ""accepted_department"": [
    ""Mental Health"",
    ""Pediatrics"",
    ""Pharmacology""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
Could you tell me why my husband has been sweating and vomiting after injecting 30 units of lantis insulin? What should I do?,"{
  ""department"": ""Endocrinology"",
  ""accepted_department"": [
    ""Endocrinology"",
    ""Emergency Medicine"",
    ""Internal Medicine""
  ],
  ""symptoms"": [
    ""sweating"",
    ""vomiting""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""High""
}"
Does age increase the severity of eds symptoms/problems?,"{
  ""department"": ""Genetics"",
  ""accepted_department"": [
    ""Genetics"",
    ""Rheumatology"",
    ""Internal Medicine""
  ],
  ""symptoms"": [],
  ""condition"": ""Ehlers-Danlos Syndrome (EDS)"",
  ""sentiment"": ""Curiosity"",
  ""urgency_level"": ""Low""
}"
Does dermonu work for acne scars?,"{
  ""department"": ""Dermatology"",
  ""accepted_department"": [
    ""Dermatology"",
    ""Plastic Surgery"",
    ""Primary Care""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Neutral"",
  ""urgency_level"": ""Low""
}"
Extension from my last question. There's vaginal discharge too so ce I'm ovulating. Could that cause the itching?,"{
  ""department"": ""OB/GYN"",
  ""accepted_department"": [
    ""OB/GYN"",
    ""Dermatology"",
    ""Urology""
  ],
  ""symptoms"": [
    ""itching"",
    ""vaginal discharge""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Inquisitive"",
  ""urgency_level"": ""Medium""
}"
Feeling frequent deja vu. I've had maybe 3 panic attack with in the past couple months that has left me a bit anxious and was wondering if it's that?,"{
  ""department"": ""Mental Health"",
  ""accepted_department"": [
    ""Mental Health"",
    ""Neurology"",
    ""Primary Care""
  ],
  ""symptoms"": [
    ""frequent deja vu"",
    ""anxiety""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Anxious"",
  ""urgency_level"": ""Medium""
}"
Have neck/back issues for months & had muscle cramps in calves. Stressed. Have (anxiety) BP is somewhat healthy. Yesterday felt tingly in both hands & shaky. In 20s .. Now it's off & on . Any ideas?,"{
  ""department"": ""Orthopedics"",
  ""accepted_department"": [
    ""Orthopedics"",
    ""Neurology"",
    ""Mental Health""
  ],
  ""symptoms"": [
    ""neck issues"",
    ""back issues"",
    ""muscle cramps"",
    ""tingly in both hands"",
    ""shaky"",
    ""stressed""
  ],
  ""condition"": ""Anxiety"",
  ""sentiment"": ""Stressed"",
  ""urgency_level"": ""Medium""
}"
"Hello, I have had an ultra sound of the testicles and the inguinal area. No trace of hernia or adenopthy. The results came back completely normal. My doctor looked at it and felt it twice. He said it is definitely not a hernia and it is just slightly bigg","{
  ""department"": ""Urology"",
  ""accepted_department"": [
    ""Urology"",
    ""General Surgery"",
    ""Internal Medicine""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Neutral"",
  ""urgency_level"": ""Low""
}"
How can someone's happiness level affect someone's health?,"{
  ""department"": ""Mental Health"",
  ""accepted_department"": [
    ""Mental Health"",
    ""Primary Care"",
    ""Endocrinology""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Curious"",
  ""urgency_level"": ""Low""
}"
How common is it to have physical anxiety symptoms without feeling anxious?,"{
  ""department"": ""Mental Health"",
  ""accepted_department"": [
    ""Mental Health"",
    ""Internal Medicine""
  ],
  ""symptoms"": [
    ""physical anxiety symptoms""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Curious"",
  ""urgency_level"": ""Low""
}"
How do add and ADHD differ?,"{
  ""department"": ""Mental Health"",
  ""accepted_department"": [
    ""Mental Health"",
    ""Neurology"",
    ""Pediatrics""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Curious"",
  ""urgency_level"": ""Low""
}"
How do I know if I have depression and anxiety?,"{
  ""department"": ""Mental Health"",
  ""accepted_department"": [
    ""Mental Health"",
    ""Primary Care""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Curious"",
  ""urgency_level"": ""Low""
}"
How long does it take for herpes to break out?,"{
  ""department"": ""Infectious Disease"",
  ""accepted_department"": [
    ""Infectious Disease"",
    ""Dermatology"",
    ""Urology""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Curious"",
  ""urgency_level"": ""Low""
}"
How many tylenol (acetaminophen) 3's are equal to  a percocet?,"{
  ""department"": ""Pharmacy"",
  ""accepted_department"": [
    ""Pharmacy"",
    ""Pain Management"",
    ""Internal Medicine""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Inquisitive"",
  ""urgency_level"": ""Low""
}"
How much time off work do I take after an ACL reconstruction?,"{
  ""department"": ""Orthopedics"",
  ""accepted_department"": [
    ""Orthopedics"",
    ""Rehabilitation"",
    ""Sports Medicine""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Neutral"",
  ""urgency_level"": ""Low""
}"
How should the drug methotrexate affect the cells of the body regarding treatment of arthritis?,"{
  ""department"": ""Rheumatology"",
  ""accepted_department"": [
    ""Rheumatology"",
    ""Pharmacology"",
    ""Internal Medicine""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Curious"",
  ""urgency_level"": ""Low""
}"
How to deal with someone acting childish?,"{
  ""department"": ""Mental Health"",
  ""accepted_department"": [
    ""Mental Health"",
    ""Social Work""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Neutral"",
  ""urgency_level"": ""Low""
}"
How to tell what I am having an allergic reaction to?,"{
  ""department"": ""Allergy & Immunology"",
  ""accepted_department"": [
    ""Allergy & Immunology"",
    ""Dermatology"",
    ""Internal Medicine""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Curious"",
  ""urgency_level"": ""Medium""
}"
I am currently on minocin (minocycline) to treat my acne but I think I am getting itchy hives?,"{
  ""department"": ""Dermatology"",
  ""accepted_department"": [
    ""Dermatology"",
    ""Allergology"",
    ""Internal Medicine""
  ],
  ""symptoms"": [
    ""itchy hives""
  ],
  ""condition"": ""Acne"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
"If I had hepatitis a, does that mean I can't drink alcohol for a certain number of weeks afterwards?","{
  ""department"": ""Gastroenterology"",
  ""accepted_department"": [
    ""Gastroenterology"",
    ""Infectious Disease"",
    ""Internal Medicine""
  ],
  ""symptoms"": [],
  ""condition"": ""Hepatitis A"",
  ""sentiment"": ""Inquisitive"",
  ""urgency_level"": ""Low""
}"
I get one or two acne errupting each month.How do I prevent them?Also the acne leaves scars on my skin. Is there any off the shelf product i could try,"{
  ""department"": ""Dermatology"",
  ""accepted_department"": [
    ""Dermatology"",
    ""Pharmacy"",
    ""Primary Care""
  ],
  ""symptoms"": [
    ""acne"",
    ""scarring""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Inquisitive"",
  ""urgency_level"": ""Low""
}"
"I got my period twice within 3 weeks, for the second time within 4 months. Why? I haven't been stressed or changed my exercise plan or diet recently..","{
  ""department"": ""OB/GYN"",
  ""accepted_department"": [
    ""OB/GYN"",
    ""Endocrinology""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
"I had arthroscopic surgery on my left knee almost a month ago but it seems to be filling up with synovial fluid, shoulde i go back to work or wait until i see the dr.?","{
  ""department"": ""Orthopedics"",
  ""accepted_department"": [
    ""Orthopedics"",
    ""Physical Therapy"",
    ""Rheumatology""
  ],
  ""symptoms"": [
    ""swelling in knee""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Anxious"",
  ""urgency_level"": ""Medium""
}"
I have tinea versicolor in the testicles and tip of penis. It gets itchy and dry. The doctor sent me a salycilic acid wash. Makes sense?,"{
  ""department"": ""Dermatology"",
  ""accepted_department"": [
    ""Dermatology"",
    ""Urology"",
    ""Primary Care""
  ],
  ""symptoms"": [
    ""itchy"",
    ""dry""
  ],
  ""condition"": ""Tinea versicolor"",
  ""sentiment"": ""Neutral"",
  ""urgency_level"": ""Medium""
}"
"I'm 16 and my left testicle started having somewhat severe pain in it, it hurts more than extremely when I walk and it hits my pants I can't drive help?","{
  ""department"": ""Urology"",
  ""accepted_department"": [
    ""Urology"",
    ""Emergency Medicine"",
    ""Internal Medicine""
  ],
  ""symptoms"": [
    ""severe pain in left testicle""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Distressed"",
  ""urgency_level"": ""High""
}"
I'm taking anxiety and depression medicine to avoid panic attacks mainly & avoid er. Can i take more than 0.5 if i feel panic and 0.5 mg doesn't work?,"{
  ""department"": ""Mental Health"",
  ""accepted_department"": [
    ""Mental Health"",
    ""Primary Care"",
    ""Emergency Medicine""
  ],
  ""symptoms"": [
    ""panic attacks""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Anxious"",
  ""urgency_level"": ""Medium""
}"
"Is 4 mg intuniv & 2mgrisperdal too much for a 5 1/2 yr old, im worried..His neurologist prescibed for pddnos & adhd?","{
  ""department"": ""Pediatrics"",
  ""accepted_department"": [
    ""Pediatrics"",
    ""Neurology"",
    ""Mental Health""
  ],
  ""symptoms"": [],
  ""condition"": ""PDD-NOS, ADHD"",
  ""sentiment"": ""Worried"",
  ""urgency_level"": ""Medium""
}"
Is aloe vera juice good for hypertension?,"{
  ""department"": ""Cardiology"",
  ""accepted_department"": [
    ""Cardiology"",
    ""Nutrition"",
    ""Primary Care""
  ],
  ""symptoms"": [],
  ""condition"": ""Hypertension"",
  ""sentiment"": ""Curious"",
  ""urgency_level"": ""Low""
}"
Is fecal bacteria really unhealthy compared to other bacteria when you are pregnant?,"{
  ""department"": ""OB/GYN"",
  ""accepted_department"": [
    ""OB/GYN"",
    ""Infectious Disease""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Curious"",
  ""urgency_level"": ""Low""
}"
Is hypno-therapy dangeorus?,"{
  ""department"": ""Mental Health"",
  ""accepted_department"": [
    ""Mental Health"",
    ""Alternative Medicine""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Curious"",
  ""urgency_level"": ""Low""
}"
Is it normal to have nausea and loss of appetite when on your period?,"{
  ""department"": ""OB/GYN"",
  ""accepted_department"": [
    ""OB/GYN"",
    ""Internal Medicine"",
    ""Nutrition""
  ],
  ""symptoms"": [
    ""nausea"",
    ""loss of appetite""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Inquisitive"",
  ""urgency_level"": ""Low""
}"
My child has low alkaline phosphatase level on his lab results. Why?,"{
  ""department"": ""Pediatrics"",
  ""accepted_department"": [
    ""Pediatrics"",
    ""Laboratory Medicine"",
    ""Endocrinology""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
"My husband has chronic itching w/ no rashes/hives.He has seen an allergist, dermatologist, acupuncturist, and therapist. Bloodwrk negative any ideas?","{
  ""department"": ""Dermatology"",
  ""accepted_department"": [
    ""Dermatology"",
    ""Allergy & Immunology"",
    ""Mental Health""
  ],
  ""symptoms"": [
    ""itching""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Frustrated"",
  ""urgency_level"": ""Medium""
}"
My six year old daughter has been on antibiotics over 48hours and started running a fever over 101 and she says her head hurts. Should I take her back in? Given antibiotics for sinus infection but has been getting stuff up when coughing. She has a hist,"{
  ""department"": ""Pediatrics"",
  ""accepted_department"": [
    ""Pediatrics"",
    ""Infectious Disease"",
    ""ENT""
  ],
  ""symptoms"": [
    ""fever"",
    ""headache"",
    ""cough""
  ],
  ""condition"": ""Sinus infection"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
"Q. Hi, I am almost 12 weeks pregnant and my food had tiny particles of plastic (by mistake) so I am worried; in case I accidentally swallowed some : (?","{
  ""department"": ""OB/GYN"",
  ""accepted_department"": [
    ""OB/GYN"",
    ""Gastroenterology"",
    ""Emergency Medicine""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Worried"",
  ""urgency_level"": ""Medium""
}"
Screaky voice. How can I get a more masculine voice?,"{
  ""department"": ""ENT"",
  ""accepted_department"": [
    ""ENT"",
    ""Speech Therapy"",
    ""Mental Health""
  ],
  ""symptoms"": [
    ""screaky voice""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Curious"",
  ""urgency_level"": ""Low""
}"
Since I was a child my joints have always clicked but over the years it has got very painful special when it rains or I am cold? How do I fix?,"{
  ""department"": ""Rheumatology"",
  ""accepted_department"": [
    ""Rheumatology"",
    ""Orthopedics"",
    ""Pain Management""
  ],
  ""symptoms"": [
    ""pain in joints""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
Was treated for PID caused by BV only with one dose of azythromyacin and injection of antibiotics. PID never went away. What should i do?,"{
  ""department"": ""OB/GYN"",
  ""accepted_department"": [
    ""OB/GYN"",
    ""Infectious Disease"",
    ""Urology""
  ],
  ""symptoms"": [],
  ""condition"": ""Pelvic Inflammatory Disease (PID)"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
What are the causes of perianal abscess?,"{
  ""department"": ""Gastroenterology"",
  ""accepted_department"": [
    ""Gastroenterology"",
    ""General Surgery"",
    ""Infectious Disease""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Inquisitive"",
  ""urgency_level"": ""Low""
}"
What does a doctor do in externsl cronic anal fissure and pls tell me the process of sugery of cronic anal fissure outside my anal there is one small?,"{
  ""department"": ""Proctology"",
  ""accepted_department"": [
    ""Proctology"",
    ""Gastroenterology"",
    ""General Surgery""
  ],
  ""symptoms"": [],
  ""condition"": ""Chronic Anal Fissure"",
  ""sentiment"": ""Inquisitive"",
  ""urgency_level"": ""Medium""
}"
What do you recommend to treat a severed posterior longitudinal ligament?,"{
  ""department"": ""Orthopedics"",
  ""accepted_department"": [
    ""Orthopedics"",
    ""Physical Medicine and Rehabilitation"",
    ""Sports Medicine""
  ],
  ""symptoms"": [],
  ""condition"": ""Severed posterior longitudinal ligament"",
  ""sentiment"": ""Inquiring"",
  ""urgency_level"": ""Medium""
}"
"What is mecoblamin? What is this medicine usus for?  My mother is diabetic patient, does this medicine useful? Thank you in advance","{
  ""department"": ""Pharmacy"",
  ""accepted_department"": [
    ""Pharmacy"",
    ""Endocrinology"",
    ""Internal Medicine""
  ],
  ""symptoms"": [],
  ""condition"": ""Diabetes"",
  ""sentiment"": ""Curious"",
  ""urgency_level"": ""Low""
}"
What is the cleanest/safest SSRI for general stress-induced anxiety?,"{
  ""department"": ""Mental Health"",
  ""accepted_department"": [
    ""Mental Health"",
    ""Pharmacy""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Inquisitive"",
  ""urgency_level"": ""Low""
}"
What is the definition or description of: activity modification?,"{
  ""department"": ""Physical Medicine and Rehabilitation"",
  ""accepted_department"": [
    ""Physical Medicine and Rehabilitation"",
    ""Orthopedics"",
    ""Occupational Therapy""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Neutral"",
  ""urgency_level"": ""Low""
}"
Whats a type 1 shellfish allergy?,"{
  ""department"": ""Allergy & Immunology"",
  ""accepted_department"": [
    ""Allergy & Immunology"",
    ""Internal Medicine"",
    ""Gastroenterology""
  ],
  ""symptoms"": [],
  ""condition"": ""Shellfish Allergy"",
  ""sentiment"": ""Curious"",
  ""urgency_level"": ""Low""
}"
What should I do if I have an allergy of sneezing when i wake upplease tell me what type of disease or allergy it is?,"{
  ""department"": ""Allergy & Immunology"",
  ""accepted_department"": [
    ""Allergy & Immunology"",
    ""Pulmonology"",
    ""Primary Care""
  ],
  ""symptoms"": [
    ""sneezing""
  ],
  ""condition"": ""Allergy"",
  ""sentiment"": ""Inquisitive"",
  ""urgency_level"": ""Low""
}"
What specific exercises would help bursitis of the suprapatellar?,"{
  ""department"": ""Orthopedics"",
  ""accepted_department"": [
    ""Orthopedics"",
    ""Physical Therapy"",
    ""Sports Medicine""
  ],
  ""symptoms"": [],
  ""condition"": ""Bursitis"",
  ""sentiment"": ""Curious"",
  ""urgency_level"": ""Low""
}"
"What to do if I have hypertension, depression of lost love, completely broke. what to do?","{
  ""department"": ""Mental Health"",
  ""accepted_department"": [
    ""Mental Health"",
    ""Cardiology"",
    ""Primary Care""
  ],
  ""symptoms"": [],
  ""condition"": ""Hypertension"",
  ""sentiment"": ""Despondent"",
  ""urgency_level"": ""Medium""
}"
Which hormones are responsible for giving you a male features on your face?,"{
  ""department"": ""Endocrinology"",
  ""accepted_department"": [
    ""Endocrinology"",
    ""Dermatology"",
    ""Urology""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Curious"",
  ""urgency_level"": ""Low""
}"
Which treatment works the best and fastest for aortic regurgitation?,"{
  ""department"": ""Cardiology"",
  ""accepted_department"": [
    ""Cardiology"",
    ""Internal Medicine"",
    ""Cardiothoracic Surgery""
  ],
  ""symptoms"": [],
  ""condition"": ""Aortic Regurgitation"",
  ""sentiment"": ""Curious"",
  ""urgency_level"": ""Low""
}"
Why does my arm always fall asleep? Like to the point where i can't move it at all,"{
  ""department"": ""Neurology"",
  ""accepted_department"": [
    ""Neurology"",
    ""Orthopedics"",
    ""Physical Therapy""
  ],
  ""symptoms"": [
    ""arm falling asleep"",
    ""inability to move arm""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
Why do I have white pigmentation skin colour around my anus and extreme itching and blisters around the anus and anal cleft?,"{
  ""department"": ""Dermatology"",
  ""accepted_department"": [
    ""Dermatology"",
    ""Gastroenterology"",
    ""Primary Care""
  ],
  ""symptoms"": [
    ""white pigmentation"",
    ""extreme itching"",
    ""blisters""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
Will taking birth control pills for treatment of dysmenorrhea affect my fertility later once married?,"{
  ""department"": ""OB/GYN"",
  ""accepted_department"": [
    ""OB/GYN"",
    ""Reproductive Health"",
    ""Family Planning""
  ],
  ""symptoms"": [],
  ""condition"": ""Dysmenorrhea"",
  ""sentiment"": ""Curious"",
  ""urgency_level"": ""Low""
}"
"35 years old female no heart problems, sharp pain in chest/heart. Only last a min. Hits anytime driving sitting takes my breath away, happening more?","{
  ""department"": ""Cardiology"",
  ""accepted_department"": [
    ""Cardiology"",
    ""Primary Care"",
    ""Emergency Medicine""
  ],
  ""symptoms"": [
    ""sharp pain in chest"",
    ""takes my breath away""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
A doctor prescribed voren supp 12.5mg for my 3-year-old boy for fever. Isnt voren used for post-op inflammatn?,"{
  ""department"": ""Pediatrics"",
  ""accepted_department"": [
    ""Pediatrics"",
    ""Pharmacology"",
    ""Primary Care""
  ],
  ""symptoms"": [
    ""fever""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
After I had intercourse with hubby I noticed slight fresh blood and burning sensation and urge to urinate. What might be the cause?,"{
  ""department"": ""Urology"",
  ""accepted_department"": [
    ""Urology"",
    ""OB/GYN"",
    ""Emergency Medicine""
  ],
  ""symptoms"": [
    ""slight fresh blood"",
    ""burning sensation"",
    ""urge to urinate""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
"After two weeks of oral surgery, my cheek is still swollen and I feel hard lumps on the lower part. It also itches outside. Help?","{
  ""department"": ""Oral Surgery"",
  ""accepted_department"": [
    ""Oral Surgery"",
    ""Dental"",
    ""ENT""
  ],
  ""symptoms"": [
    ""swollen cheek"",
    ""hard lumps"",
    ""itching""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
"Always use birth control, always use condoms with spermicide, always pull out with condom, but my period is late. Stress from college or pregnancy?","{
  ""department"": ""OB/GYN"",
  ""accepted_department"": [
    ""OB/GYN"",
    ""Primary Care"",
    ""Reproductive Health""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Anxious"",
  ""urgency_level"": ""Medium""
}"
Any reliable blood test for ovarian cancer?,"{
  ""department"": ""Oncology"",
  ""accepted_department"": [
    ""Oncology"",
    ""OB/GYN"",
    ""Laboratory Medicine""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Inquisitive"",
  ""urgency_level"": ""Low""
}"
Been having chest pains a lot lately especially when i sit in certain positions ?,"{
  ""department"": ""Cardiology"",
  ""accepted_department"": [
    ""Cardiology"",
    ""Internal Medicine"",
    ""Emergency Medicine""
  ],
  ""symptoms"": [
    ""chest pain""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
Been having this tenderness and pain in my breast for almost weeks....Not pregnant too. What coukd it be?,"{
  ""department"": ""Breast Health"",
  ""accepted_department"": [
    ""Breast Health"",
    ""OB/GYN"",
    ""Primary Care""
  ],
  ""symptoms"": [
    ""tenderness"",
    ""pain""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
Borderline changes to Brain MRI in 1 yr being referred to a neuroradiologist does this mean something sinister?,"{
  ""department"": ""Neurology"",
  ""accepted_department"": [
    ""Neurology"",
    ""Radiology"",
    ""Neurosurgery""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Anxiety"",
  ""urgency_level"": ""Medium""
}"
Both arms numb no chest pain just a lil dizzy. And a little heart burn I have gastritis and back arthritis.,"{
  ""department"": ""Neurology"",
  ""accepted_department"": [
    ""Neurology"",
    ""Gastroenterology"",
    ""Rheumatology""
  ],
  ""symptoms"": [
    ""numbness in arms"",
    ""dizziness"",
    ""heartburn""
  ],
  ""condition"": ""Gastritis, Back Arthritis"",
  ""sentiment"": ""Anxious"",
  ""urgency_level"": ""Medium""
}"
"Brain epidermoid, is it the same as a  meningioma tumor the difference between the two       3cm brain stem / 8cm front lobe?","{
  ""department"": ""Neurosurgery"",
  ""accepted_department"": [
    ""Neurosurgery"",
    ""Oncology"",
    ""Radiology""
  ],
  ""symptoms"": [],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Inquisitive"",
  ""urgency_level"": ""Low""
}"
Bright red blood on TP after first wipe after BM; then other wipes no more blood. I drink way to much pop and very little water...if that matters. ?,"{
  ""department"": ""Gastroenterology"",
  ""accepted_department"": [
    ""Gastroenterology"",
    ""Internal Medicine"",
    ""Primary Care""
  ],
  ""symptoms"": [
    ""bright red blood on toilet paper after bowel movement""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
C4-5 right uncovertebral osteophyte/disc bulge complex  broad disc bulge right neural foraminal stenosis & abutment of ventral cervical cord. Meaning?,"{
  ""department"": ""Neurology"",
  ""accepted_department"": [
    ""Orthopedics"",
    ""Neurology"",
    ""Physical Medicine and Rehabilitation""
  ],
  ""symptoms"": [],
  ""condition"": ""Cervical disc disease"",
  ""sentiment"": ""Curious"",
  ""urgency_level"": ""Medium""
}"
